X,Y,Name,OBJECTID,Zone_1,Division_1,PS_Name_1,Assembly,Percentage,Assembly1,Percentage1,Shape_Length,Shape_Area
78.4480323001822,17.3561698202811,"
     Bahadurpura
    ",1,"South Zone
","Bahadurpura
","Bahadurpura
","Bahadurpura
","100
",,,8624.2942718818,2751175.22329384
78.5277189553204,17.5146122269058,"
     Bollaram
    ",2,"North Zone
","Tirumalghery
","Bollaram
","Secunderabad Cantonment
","100
",,,16509.6172925548,9072466.37027842
78.4785241560091,17.4790580676865,"
     Bowenpally
    ",3,"North Zone
","Begumpet
","Bowenpally
","Secunderabad Cantonment
","100
",,,19005.1559724484,11453344.0210851
78.5030035782691,17.4596598953404,"
     Karkhana
    ",4,"North Zone
","Tirumalghery
","Karkhana
","Secunderabad Cantonment
","100
",,,9232.66801096841,4060658.60265521
78.5029947595724,17.450845625783,"
     Marredpally
    ",5,"North Zone
","Gopalpuram
","Marredpally
","Secunderabad Cantonment
","100
",,,6577.06579776193,2114506.44670456
78.5163708575964,17.4479966108183,"
     Tukaramgate
    ",6,"North Zone
","Gopalpuram
","Tukaramgate
","Secunderabad Cantonment
","60
","Secunderabad
","40
",8750.53064329014,3885166.21583826
78.5101057406324,17.4789947301078,"
     Tirumalghery
    ",7,"North Zone
","Tirumalghery
","Tirumalghery
","Secunderabad Cantonment
","100
",,,16199.2880739572,8910403.83795093
78.4737409183265,17.4463845003297,"
     Begumpet
    ",8,"North Zone
","Begumpet
","Begumpet
","Secunderabad Cantonment
","50
","Sanathanagar,Khairathabad
","20,10
",14995.9056015558,7126893.35451515
78.4911843042025,17.4359786043532,"
     Mahankali
    ",9,"North Zone
","Mahankali
","Mahankali
","Sanath Nagar
","100
",,,4552.2440241445,947973.193049853
78.506236072524,17.4359130066585,"
     Gopalpuram
    ",10,"North Zone
","Gopalpuram
","Gopalpuram
","Secunderabad Cantonment
","60
","Secunderababd,Sanathnagar
","30,10
",5560.62820199646,1378162.78121146
78.4970587990527,17.4371023128319,"
     Market
    ",11,"North Zone
","Mahankali
","Market
","Sanath Nagar
","60
","Secunderabad Cantonment
","40
",3730.18439086509,680627.451626757
78.5138512012072,17.4281573214002,"
     Chilkalguda
    ",12,"East Zone
","Chilkalguda
","Chilkalguda
","Sanath Nagar
","30
","Secunderabad
","70
",8006.02369160916,3338558.59510322
78.5310632506069,17.4184853933169,"
     Osamania University
    ",13,"East Zone
","OU sity
","Osamania University
","Secunderabad Cantonment
","100
",,,17984.254365502,8884090.8506556
78.5307101002978,17.434935131983,"
     Lalaguda
    ",14,"East Zone
","Chilkalguda
","Lalaguda
","Secunderabad Cantonment
","100
",,,8757.14086588048,2916626.12592449
78.4938269680428,17.4237638230961,"
     Gandhinagar
    ",15,"Central Zone
","Gandhinagar
","Gandhinagar
","Sanath Nagar
","60
","Musheerabad
","40
",6468.77792057772,1762444.54789521
78.4994372679721,17.4152046175719,"
     Musheerabad
    ",16,"Central Zone
","Chikkadpally
","Musheerabad
","Musheerabad
","100
",,,7376.15196169077,2238269.82313298
78.5101685342478,17.4026374742304,"
     Nallakunta
    ",17,"East Zone
","OU sity
","Nallakunta
","Musheerabad
","40
","Amberpet
","40
",7112.05269767451,1656884.32592099
78.517797118849,17.3908525529158,"
     Amberpet
    ",18,"East Zone
","Amberpet
","Amberpet
","Amberpet
","100
",,,12417.4251147941,4679500.52798481
78.5167752122849,17.3743817768338,"
     Malakpet
    ",19,"South East Zone
","Malakpet
","Malakpet
","Malakpet
","100
",,,8380.03108405621,3055438.0464344
78.4995854606489,17.3289800960334,"
     Kanchanbagh
    ",20,"South East Zone
","Chandrayangutta
","Kanchanbagh
","Chandryangutta
","100
",,,13621.9709293596,6898190.83523404
78.5207645186504,17.355191882068,"
     Saidabad
    ",21,"South East Zone
","Saidabad
","Saidabad
","Malakpet
","100
",,,9873.758838091,2493860.14831932
